Word,Rank,Frequency
",",1,11454
.,2,6928
to,3,5183
the,4,4844
and,5,4672
of,6,4279
I,7,3178
a,8,3004
was,9,2385
her,10,2381
;,11,2199
it,12,2128
in,13,2118
not,14,2101
"""",15,2004
be,16,1970
she,17,1778
that,18,1730
you,19,1677
had,20,1606
as,21,1387
--,22,1382
he,23,1365
for,24,1321
have,25,1301
is,26,1220
with,27,1187
Mr,28,1153
very,29,1151
but,30,1148
".""",31,1138
his,32,1088
',33,1007
at,34,997
s,35,933
so,36,924
Emma,37,865
all,38,835
could,39,825
would,40,815
been,41,759
him,42,758
Mrs,43,699
.--,44,685
on,45,677
any,46,651
my,47,619
no,48,616
Miss,49,592
were,50,591
do,51,580
-,52,574
me,53,564
must,54,564
She,55,562
will,56,559
by,57,558
which,58,552
!,59,549
from,60,535
Harriet,61,506
or,62,490
said,63,484
much,64,478
more,65,464
an,66,452
are,67,447
He,68,441
such,69,440
Weston,70,439
what,71,434
them,72,432
am,73,422
",""",74,421
there,75,420
this,76,418
than,77,415
one,78,413
It,79,400
thing,80,398
every,81,398
they,82,392
Knightley,83,389
Elton,84,385
think,85,380
if,86,375
should,87,366
The,88,357
being,89,356
little,90,354
never,91,347
good,92,340
!--,93,338
your,94,337
know,95,337
did,96,335
only,97,327
might,98,322
well,99,315
Woodhouse,100,313
when,101,312
say,102,308
You,103,303
own,104,301
Jane,105,301
their,106,297
But,107,293
who,108,281
herself,109,279
now,110,273
time,111,272
can,112,270
quite,113,269
how,114,263
great,115,263
we,116,260
too,117,253
some,118,248
about,119,246
before,120,243
most,121,243
has,122,243
Fairfax,123,241
nothing,124,237
always,125,235
man,126,233
"?""",127,230
thought,128,226
And,129,224
Churchill,130,223
soon,131,221
see,132,220
other,133,220
again,134,219
dear,135,217
may,136,213
shall,137,212
out,138,212
without,139,211
first,140,209
Frank,141,208
father,142,207
sure,143,204
?--,144,200
like,145,199
made,146,199
body,147,193
day,148,190
young,149,190
up,150,190
ever,151,189
Oh,152,185
indeed,153,181
friend,154,177
?,155,174
two,156,171
though,157,169
better,158,166
into,159,163
Hartfield,160,160
just,161,159
come,162,159
give,163,157
way,164,155
really,165,153
make,166,152
then,167,150
Bates,168,148
They,169,148
himself,170,146
having,171,145
rather,172,145
us,173,145
"!""",174,144
long,175,144
hope,176,143
done,177,142
seemed,178,141
after,179,140
over,180,139
away,181,138
cannot,182,138
wish,183,134
upon,184,133
many,185,133
:,186,133
here,187,133
home,188,130
There,189,129
woman,190,129
go,191,129
enough,192,129
mind,193,128
No,194,126
Highbury,195,125
does,196,125
A,197,125
;--,198,124
even,199,122
happy,200,122
heard,201,120
moment,202,120
came,203,119
last,204,119
going,205,118
its,206,118
love,207,117
room,208,117
look,209,116
take,210,116
half,211,116
however,212,114
pleasure,213,114
felt,214,113
while,215,113
sort,216,112
morning,217,110
If,218,110
letter,219,109
still,220,109
saw,221,108
My,222,108
This,223,108
How,224,108
yet,225,106
few,226,106
poor,227,106
another,228,106
something,229,105
myself,230,102
What,231,102
same,232,102
feelings,233,102
believe,234,101
idea,235,100
hear,236,100
speak,237,99
off,238,99
doubt,239,98
`,240,97
subject,241,97
evening,242,96
party,243,96
house,244,95
feel,245,95
till,246,95
word,247,94
ought,248,94
people,249,93
place,250,92
