Employee,JobFamily,Total Benefits,Total Compensation,Percentage
15067,Nursing,6815.658750000001,11289.018749999997,60.37423536035852
12682,"Clerical, Secretarial & Steno",1155.6100000000001,2115.702,54.62064128123904
42375,"Clerical, Secretarial & Steno",706.185,1350.065,52.30748149163188
20855,Journeyman Trade,567.21,1134.86,49.980614348906485
41443,Nursing,4178.56375,8832.6525,47.30814158034634
7085,Nursing,7105.2971428571445,15232.388571428572,46.645981420041814
39354,Public Service Aide,15732.277999999997,38301.40800000001,41.07493385099574
15539,Nursing,4607.496,11391.064000000002,40.44833739850816
21479,Public Service Aide,7752.110000000001,19204.015,40.367131560769984
41552,Public Service Aide,13260.480000000001,33047.85,40.125091344822735
20356,Public Service Aide,13100.564,32652.112000000005,40.12164358617905
39875,Public Service Aide,9566.978,23972.898000000005,39.90747384817637
54285,Public Service Aide,12946.806666666665,32618.44333333334,39.69167545600223
49352,Public Service Aide,17691.39,44998.31285714286,39.3156740257468
51582,Street Transit,5050.17,12853.779999999999,39.28937635465988
27560,Street Transit,6719.116666666666,17215.85666666667,39.02865129956742
17517,Public Service Aide,17553.938000000002,45054.272,38.96176149511417
31465,Street Transit,6807.355,17493.195,38.91430353345972
7462,Street Transit,2185.1133333333332,5632.893333333333,38.792023992406506
35946,Street Transit,9295.033333333333,23990.14,38.745223384829494
14628,Street Transit,2116.8033333333333,5463.663333333334,38.74329738472173
270,Street Transit,3850.84,9944.3,38.724093199119096
40073,Street Transit,3178.9633333333336,8213.603333333334,38.703638395004056
52214,Street Transit,3455.5766666666664,8939.196666666667,38.656456452649174
28422,Street Transit,1850.5466666666664,4791.3133333333335,38.62295237074873
8820,Street Transit,1850.6933333333334,4793.86,38.60549397215049
15923,Public Service Aide,23630.761250000003,61379.494999999995,38.499439022755084
51827,Street Transit,9874.166666666666,25678.66,38.45281127078542
23921,Street Transit,5073.035,13196.565,38.442087012794616
19260,Public Service Aide,14328.284,37274.872,38.439525694414186
26366,Street Transit,6097.18,15945.766666666668,38.23698243839013
13453,Street Transit,4345.419999999999,11401.039999999999,38.11424220948264
40824,Public Service Aide,20993.54875,55101.2775,38.0999310769156
47097,Street Transit,1658.5900000000001,4364.6,38.00096228749484
36531,Public Service Aide,15612.32,41085.69,37.999410500346954
42461,Street Transit,9354.706666666667,24627.573333333334,37.98468708244634
48528,Street Transit,6407.54,16889.326666666668,37.9383981757315
35508,Public Service Aide,12351.74125,32559.571249999997,37.93582278820702
9433,Street Transit,5831.3475,15371.642499999998,37.935747594962606
3233,Police Services,-698.21,-1841.23,37.92084639072794
8918,Street Transit,6685.316666666666,17668.423333333336,37.83765274660424
26349,Street Transit,947.905,2509.0550000000003,37.77936314668271
15103,Street Transit,11805.077500000001,31266.547500000004,37.75625530768947
4754,Street Transit,10135.356666666667,26902.063333333335,37.67501600558767
10649,Street Transit,2670.15,7093.4766666666665,37.64233147544481
27829,Street Transit,1147.25,3049.24,37.624129291233224
36405,Street Transit,10160.810000000001,27046.454999999998,37.56799181260539
39327,Street Transit,9818.2325,26175.652500000004,37.50902675683061
48273,Street Transit,5279.96,14097.81,37.452341888562835
29156,Street Transit,8539.539999999999,22834.219999999998,37.397993012242154
52462,Street Transit,10008.029999999999,26768.195,37.387765592711794
32049,Semi-Skilled & General Labor,2760.21,7384.51,37.37837717059087
8242,Street Transit,7577.6525,20281.227499999997,37.36288890798154
44845,Street Transit,11890.9,31833.226666666666,37.353737729801814
7879,Street Transit,19253.616,51553.738,37.34669249395651
53871,Street Transit,10944.693333333335,29332.653333333332,37.31231951286144
36569,Street Transit,6727.656666666667,18039.343333333334,37.29435458016487
13867,Street Transit,7428.009999999999,19927.8825,37.27445703275298
43965,Public Service Aide,7258.8325,19482.2575,37.25868267576281
27424,Street Transit,4950.366666666667,13293.293333333335,37.23958046012174
54013,Street Transit,24619.852499999997,66122.065,37.23394376748517
23597,Street Transit,16334.988000000001,43913.696,37.197934785539346
46297,Street Transit,26811.886,72097.024,37.18861682834509
3903,Street Transit,9389.202000000001,25261.124,37.16858363072048
8417,Street Transit,10127.488000000001,27256.190000000002,37.15665322262576
38969,Public Service Aide,19141.041250000002,51564.63374999999,37.120483280849456
3652,Street Transit,14030.4,37800.38,37.11708718272145
54218,Street Transit,7639.673333333333,20583.886666666665,37.114824119707876
47930,Street Transit,17912.629999999997,48307.604,37.0803528156768
41809,Street Transit,11175.470000000001,30141.873333333333,37.076229059861575
48853,Street Transit,11418.335,30801.815,37.07033173207488
28933,Street Transit,11578.5,31234.62,37.06944409760708
17054,Public Service Aide,17336.49714285714,46770.66571428572,37.06703096501329
13679,Street Transit,9358.925,25249.035,37.06646610454617
29060,Street Transit,6163.660000000001,16633.48,37.055745400240966
10459,Street Transit,16822.877999999997,45414.518,37.042951771501784
10957,Street Transit,14078.800000000001,38015.36,37.03450394787791
23619,Street Transit,14208.235,38376.045,37.02370840976448
26096,Street Transit,15006.885,40542.465,37.01522588722714
13619,Street Transit,11351.383333333333,30672.103333333333,37.00881941473202
10225,Street Transit,16771.42,45320.869999999995,37.0059533279039
