Team,Average
Abahani Limited,172.0
Abbottabad Falcons,140.83333333333334
Abbottabad Region,182.66666666666666
Abbottabad Rhinos,143.2
Adelaide Strikers,150.125
Afghanistan,142.8
Andhra,130.69230769230768
Antigua,146.0
Antigua Hawksbills,125.33333333333333
Antigua and Barbuda,153.0
Assam,137.0
Auckland,158.23529411764707
Australia,155.83673469387756
Australia A,174.0
Azad Jammu & Kashmir Region,123.0
Badureliya Sports Club,153.06666666666666
Bahawalpur Region,154.6
Bahawalpur Stags,144.44444444444446
Baluchistan,217.0
Bangladesh,138.37037037037038
Bangladesh A,131.5
Bangladesh Cricket Board XI,124.0
Bangladesh XI,137.5
Barbados,122.93333333333334
Barbados Tridents,140.47826086956522
Barisal Bulls,140.0
Barisal Burners,154.72727272727272
Barisal Division,133.5
Baroda,149.10344827586206
Basnahira,141.66666666666666
Basnahira Cricket Dundee,128.25
Basnahira Greens,123.33333333333333
Basnahira North,138.0
Basnahira South,140.11111111111111
Bengal,152.07142857142858
Bermuda,128.85714285714286
Bloomfield Cricket and Athletic Club,123.06666666666666
Boland,126.0
Border,128.0
Brisbane Heat,159.5
Burgher Recreation Club,127.36363636363636
Canada,124.0
Canterbury,154.2
Cape Cobras,147.3235294117647
Central Districts,157.48
Centrals,130.0
Chennai Super Kings,159.83333333333334
Chilaw Marians Cricket Club,146.53333333333333
Chittagong Division,151.5
Chittagong Kings,157.3846153846154
Chittagong Vikings,146.41666666666666
Colombo Commandos,140.0
Colombo Cricket Club,155.23076923076923
Colts Cricket Club,148.6153846153846
Combined Campuses and Colleges,131.25
Combined Provinces,146.5
Comilla Victorians,136.93333333333334
Deccan Chargers,148.45454545454547
Delhi,144.02777777777777
Delhi Daredevils,148.02857142857144
Denmark,115.5
Dera Murad Jamali Ibexes,69.0
Dera Murad Jamali Region,127.0
Derbyshire,148.83076923076922
Desert Vipers,146.0
Dhaka Division,130.0
Dhaka Dynamites,136.25
Dhaka Gladiators,163.78571428571428
Dhaka Metropolis,168.5
Dolphins,150.86206896551724
Dominica,77.0
Durham,146.20253164556962
Duronto Rajshahi,145.92857142857142
Eagles,143.08695652173913
Eastern Cape,138.0
Eastern Province,132.25
Easterns,136.5
Easterns (Zimbabwe),138.8
England,153.34615384615384
England Lions,149.2
Essex,157.02439024390245
FATA Cheetas,140.0
FATA Region,146.0
Faisalabad Wolves,147.83870967741936
Federally Administered Tribal Areas,139.33333333333334
Free State,143.25
Galle Cricket Club,117.33333333333333
Galle Guardians,143.83333333333334
Gauteng,124.07692307692308
Glamorgan,147.5068493150685
Gloucestershire,150.2394366197183
Goa,138.125
Grenada,84.0
Griqualand West,134.36363636363637
Gujarat,149.46875
Gujarat Lions,145.66666666666666
Guyana,126.0
Guyana Amazon Warriors,136.64
Habib Bank Limited,139.4
Hambantota Troopers,136.33333333333334
Hampshire,149.6206896551724
Haryana,133.24137931034483
Himachal Pradesh,131.625
Hobart Hurricanes,157.16666666666666
Hong Kong,125.5
Hyderabad (India),145.71428571428572
Hyderabad Hawks,142.30769230769232
Hyderabad Region,167.25
Impi,139.16666666666666
India,145.17142857142858
India A,172.0
Ireland,127.55882352941177
Islamabad,144.5
Islamabad Leopards,135.6875
Islamabad Region,157.0
Islamabad United,146.25
Italy,120.625
Jamaica,115.1875
Jamaica Tallawahs,141.48
Jammu & Kashmir,114.88888888888889
Jersey,114.5
Jharkhand,128.54166666666666
Kandurata,145.75
Kandurata Maroons,136.8
Kandurata Warriors,135.0
Kandy Crusaders,149.33333333333334
Karachi Blues,148.66666666666666
Karachi Dolphins,150.57142857142858
Karachi Kings,137.5
Karachi Region Blues,185.0
Karachi Region Whites,132.0
Karachi Whites,162.0
Karachi Zebras,150.0
Karnataka,133.1904761904762
Kent,147.80519480519482
Kenya,130.82051282051282
Kerala,135.95454545454547
Khan Research Laboratories,131.66666666666666
Khan Research Labs,135.25
Khulna Division,112.75
Khulna Royal Bengals,151.0625
Khulna Titans,110.0
Khyber Pakhtunkhwa,146.0
Kings XI Punjab,156.82608695652175
Knights,143.42857142857142
Kochi Tuskers Kerala,130.28571428571428
Kolkata Knight Riders,144.09756097560975
Kurunegala Warriors,138.2
Kurunegala Youth Cricket Club,138.57142857142858
KwaZulu-Natal,131.76190476190476
KwaZulu-Natal Inland,127.625
Lahore Blues,134.25
Lahore Eagles,153.5909090909091
Lahore Lions,157.1860465116279
Lahore Qalandars,158.33333333333334
Lahore Region Blues,134.33333333333334
Lahore Region Whites,154.33333333333334
Lahore Whites,149.8
Lancashire,151.84883720930233
Lankan Cricket Club,123.125
Larkana Bulls,119.5
Larkana Region,117.66666666666667
Leeward Islands,117.0
Leicestershire,148.2972972972973
Lions,148.40579710144928
Madhya Pradesh,141.96428571428572
Maharashtra,142.58823529411765
Mashonaland Eagles,157.27777777777777
Matabeleland Tuskers,134.6
Melbourne Renegades,138.5
Melbourne Stars,153.83333333333334
Mid West Rhinos,141.0
Middlesex,143.21333333333334
Mohammedan Sporting Club,118.33333333333333
Montserrat,92.5
Moors Sports Club,133.8125
Mountaineers,147.1818181818182
Multan Region,165.5
Multan Tigers,136.75
Mumbai,156.0
Mumbai Indians,155.96511627906978
Nagenahira Nagas,105.5
Namibia,138.95348837209303
National Bank of Pakistan,112.66666666666667
Nepal,102.23529411764706
Netherlands,130.84615384615384
Nevis,112.5
New South Wales,144.52631578947367
New Zealand,147.175
New Zealand A,227.0
Nondescripts Cricket Club,153.4
North Island,127.0
North West,151.23529411764707
Northamptonshire,152.70833333333334
Northern Cape,140.0
Northern Districts,148.9
Northerns,141.33333333333334
Northerns (Zimbabwe),165.0
Nottinghamshire,155.5897435897436
Odisha,133.0
Oman,125.76923076923077
Orissa,121.33333333333333
Otago,156.5
PCA Masters XI,138.0
Pakistan,139.125
Pakistan A,144.28571428571428
Pakistan International Airlines,143.4
Pakistan Television,119.5
Panadura Sports Club,126.0
Papua New Guinea,126.84615384615384
Perth Scorchers,152.03125
Peshawar,151.33333333333334
Peshawar Panthers,128.94736842105263
Peshawar Region,182.5
Peshawar Zalmi,141.5
Police Sports Club,136.75
Port Qasim Authority,162.0
Prime Bank Cricket Club,141.33333333333334
Pune Warriors,146.3181818181818
Punjab,135.125
Queensland,155.4375
Quetta Bears,119.08
Quetta Gladiators,149.25
Quetta Region,99.0
Ragama Cricket Club,139.85714285714286
Railways,146.14285714285714
Rajasthan,137.36363636363637
Rajasthan Royals,147.80519480519482
Rajshahi Division,118.2
Rajshahi Kings,140.0
Rangpur Division,150.0
Rangpur Riders,133.94444444444446
Rawalpindi,137.2
Rawalpindi Rams,148.55
Rawalpindi Region,145.0
Rising Pune Supergiants,143.0
Royal Challengers Bangalore,156.37037037037038
Ruhuna,146.15384615384616
Ruhuna Reds,146.0
Ruhuna Royals,126.33333333333333
Saracens Sports Club,126.0
Saurashtra,123.61904761904762
Schools Invitation XI,115.875
Scotland,128.16129032258064
Sebastianites Cricket and Athletic Club,109.75
Services,121.0
Sialkot Region,162.33333333333334
Sialkot Stallions,150.92307692307693
Sind,127.5
Singha Sports Club,125.33333333333333
Sinhalese Sports Club,152.0
Somerset,159.1494252873563
South Africa,153.75
South Africa Emerging Players,169.0
South Africa XI,140.66666666666666
South Australia,152.47058823529412
South Island,126.0
South Western Districts,132.23076923076923
Southern Express,125.75
Southern Rocks,140.76923076923077
Southerns,99.5
Sri Lanka,146.975
Sri Lanka A,135.3
Sri Lanka Air Force Sports Club,114.0
Sri Lanka Army,116.16666666666667
Sri Lanka Cricket Combined XI,145.66666666666666
Sri Lanka Navy Sports Club,112.25
Sri Lanka Ports Authority Cricket Club,129.375
St Kitts,100.0
St Kitts and Nevis Patriots,149.92307692307693
St Lucia,98.0
St Lucia Zouks,145.64705882352942
St Vincent,109.0
Stanford Superstars,140.0
