,Year,Season,AverageTemperature
0,1768,AUTUMN,4.8765
3,1769,AUTUMN,0.0
7,1770,AUTUMN,0.0
11,1771,AUTUMN,0.0
15,1772,AUTUMN,0.0
19,1773,AUTUMN,0.0
23,1774,AUTUMN,4.883
27,1775,AUTUMN,7.8134999999999994
31,1776,AUTUMN,5.527000000000001
35,1777,AUTUMN,4.462000000000001
39,1778,AUTUMN,4.416499999999999
43,1779,AUTUMN,0.0
47,1780,AUTUMN,0.0
51,1781,AUTUMN,6.4315
55,1782,AUTUMN,0.0
59,1783,AUTUMN,0.0
63,1784,AUTUMN,0.0
67,1785,AUTUMN,0.0
71,1786,AUTUMN,0.0
75,1787,AUTUMN,0.0
79,1788,AUTUMN,0.0
83,1789,AUTUMN,0.0
87,1790,AUTUMN,0.0
91,1791,AUTUMN,0.0
95,1792,AUTUMN,0.0
99,1793,AUTUMN,0.0
103,1794,AUTUMN,0.0
107,1795,AUTUMN,0.0
111,1796,AUTUMN,5.8525
115,1797,AUTUMN,0.0
119,1798,AUTUMN,0.0
123,1799,AUTUMN,0.0
127,1800,AUTUMN,0.0
131,1801,AUTUMN,0.0
135,1802,AUTUMN,0.0
139,1803,AUTUMN,0.0
143,1804,AUTUMN,0.0
147,1805,AUTUMN,0.0
151,1806,AUTUMN,0.0
155,1807,AUTUMN,0.0
159,1808,AUTUMN,0.0
163,1809,AUTUMN,0.0
167,1810,AUTUMN,0.0
171,1811,AUTUMN,3.6845
175,1812,AUTUMN,4.109999999999999
179,1813,AUTUMN,0.0
183,1814,AUTUMN,5.809
187,1815,AUTUMN,3.743
191,1816,AUTUMN,2.9335
195,1817,AUTUMN,4.002
199,1818,AUTUMN,4.7379999999999995
203,1819,AUTUMN,0.0
207,1820,AUTUMN,4.315
211,1821,AUTUMN,5.493499999999999
215,1822,AUTUMN,4.607
219,1823,AUTUMN,4.474
223,1824,AUTUMN,5.1035
227,1825,AUTUMN,5.605
231,1826,AUTUMN,5.9115
235,1827,AUTUMN,5.842499999999999
239,1828,AUTUMN,6.019
243,1829,AUTUMN,5.13
247,1830,AUTUMN,7.5335
251,1831,AUTUMN,4.9935
255,1832,AUTUMN,5.5965
259,1833,AUTUMN,5.812500000000001
263,1834,AUTUMN,6.2844999999999995
267,1835,AUTUMN,4.127000000000001
271,1836,AUTUMN,4.0040000000000004
275,1837,AUTUMN,5.6290000000000004
279,1838,AUTUMN,3.7060000000000004
283,1839,AUTUMN,5.2365
287,1840,AUTUMN,4.2855
291,1841,AUTUMN,4.9125
295,1842,AUTUMN,4.4185
299,1843,AUTUMN,4.3420000000000005
303,1844,AUTUMN,4.52
307,1845,AUTUMN,4.5495
311,1846,AUTUMN,5.6035
315,1847,AUTUMN,5.375
319,1848,AUTUMN,4.626
323,1849,AUTUMN,5.9485
327,1850,AUTUMN,5.7395
331,1851,AUTUMN,5.131
335,1852,AUTUMN,4.9575000000000005
339,1853,AUTUMN,5.368500000000001
343,1854,AUTUMN,6.3870000000000005
347,1855,AUTUMN,5.3535
351,1856,AUTUMN,4.9955
355,1857,AUTUMN,4.7895
359,1858,AUTUMN,4.8395
363,1859,AUTUMN,5.074
367,1860,AUTUMN,5.556
371,1861,AUTUMN,5.736000000000001
375,1862,AUTUMN,5.407000000000002
379,1863,AUTUMN,4.547999999999999
383,1864,AUTUMN,4.56
387,1865,AUTUMN,6.176500000000002
391,1866,AUTUMN,6.073499999999999
395,1867,AUTUMN,6.528499999999999
399,1868,AUTUMN,5.2525
403,1869,AUTUMN,4.593
407,1870,AUTUMN,6.312
411,1871,AUTUMN,4.94
415,1872,AUTUMN,4.2965
419,1873,AUTUMN,4.928
423,1874,AUTUMN,5.771
427,1875,AUTUMN,5.1585
