,Year,Season,AverageTemperature
4,1769,SPRING,18.328500000000002
8,1770,SPRING,0.0
12,1771,SPRING,0.0
16,1772,SPRING,0.0
20,1773,SPRING,0.0
24,1774,SPRING,0.0
28,1775,SPRING,16.068
32,1776,SPRING,9.918
36,1777,SPRING,15.601
40,1778,SPRING,15.345
44,1779,SPRING,0.0
48,1780,SPRING,0.0
52,1781,SPRING,0.0
56,1782,SPRING,16.799
60,1783,SPRING,0.0
64,1784,SPRING,0.0
68,1785,SPRING,0.0
72,1786,SPRING,0.0
76,1787,SPRING,0.0
80,1788,SPRING,0.0
84,1789,SPRING,0.0
88,1790,SPRING,0.0
92,1791,SPRING,0.0
96,1792,SPRING,0.0
100,1793,SPRING,0.0
104,1794,SPRING,0.0
108,1795,SPRING,0.0
112,1796,SPRING,9.9385
116,1797,SPRING,15.939
120,1798,SPRING,0.0
124,1799,SPRING,0.0
128,1800,SPRING,0.0
132,1801,SPRING,0.0
136,1802,SPRING,0.0
140,1803,SPRING,0.0
144,1804,SPRING,0.0
148,1805,SPRING,0.0
152,1806,SPRING,0.0
156,1807,SPRING,0.0
160,1808,SPRING,0.0
164,1809,SPRING,0.0
168,1810,SPRING,0.0
172,1811,SPRING,0.0
176,1812,SPRING,14.746500000000001
180,1813,SPRING,16.66
184,1814,SPRING,0.0
188,1815,SPRING,14.494
192,1816,SPRING,15.292000000000002
196,1817,SPRING,14.402999999999999
200,1818,SPRING,17.023
204,1819,SPRING,0.0
208,1820,SPRING,16.1515
212,1821,SPRING,16.104
216,1822,SPRING,16.0835
220,1823,SPRING,16.266
224,1824,SPRING,15.959
228,1825,SPRING,16.426000000000002
232,1826,SPRING,16.942500000000003
236,1827,SPRING,16.701999999999998
240,1828,SPRING,17.125500000000002
244,1829,SPRING,17.121000000000002
248,1830,SPRING,15.643
252,1831,SPRING,16.044
256,1832,SPRING,15.723500000000001
260,1833,SPRING,15.8535
264,1834,SPRING,15.9975
268,1835,SPRING,15.7615
272,1836,SPRING,15.7545
276,1837,SPRING,14.988999999999999
280,1838,SPRING,15.327499999999999
284,1839,SPRING,15.6965
288,1840,SPRING,16.3075
292,1841,SPRING,16.0845
296,1842,SPRING,15.148
300,1843,SPRING,15.0365
304,1844,SPRING,15.4305
308,1845,SPRING,15.579999999999998
312,1846,SPRING,16.361
316,1847,SPRING,15.093999999999998
320,1848,SPRING,15.936
324,1849,SPRING,15.6265
328,1850,SPRING,15.421500000000002
332,1851,SPRING,16.383
336,1852,SPRING,16.4105
340,1853,SPRING,16.4315
344,1854,SPRING,15.956
348,1855,SPRING,16.4765
352,1856,SPRING,16.935
356,1857,SPRING,15.940999999999999
360,1858,SPRING,16.141000000000002
364,1859,SPRING,16.462
368,1860,SPRING,16.3055
372,1861,SPRING,16.296999999999997
376,1862,SPRING,16.1565
380,1863,SPRING,16.275
384,1864,SPRING,16.8155
388,1865,SPRING,17.06
392,1866,SPRING,15.7475
396,1867,SPRING,15.961500000000001
400,1868,SPRING,16.3365
404,1869,SPRING,16.0295
408,1870,SPRING,17.0645
412,1871,SPRING,17.119500000000002
416,1872,SPRING,16.6715
420,1873,SPRING,16.197499999999998
424,1874,SPRING,17.3625
428,1875,SPRING,16.5095
432,1876,SPRING,16.241
436,1877,SPRING,15.901
440,1878,SPRING,15.981
444,1879,SPRING,16.555000000000003
448,1880,SPRING,16.9005
452,1881,SPRING,17.0945
456,1882,SPRING,15.543
460,1883,SPRING,16.0155
464,1884,SPRING,16.2285
468,1885,SPRING,15.9465
472,1886,SPRING,16.816000000000003
476,1887,SPRING,16.8215
480,1888,SPRING,15.658999999999999
484,1889,SPRING,16.065
