,Year,Season,AverageTemperature
1,1768,SUMMER,15.42
5,1769,SUMMER,14.293333333333335
9,1770,SUMMER,0.0
13,1771,SUMMER,0.0
17,1772,SUMMER,0.0
21,1773,SUMMER,0.0
25,1774,SUMMER,0.0
29,1775,SUMMER,19.17533333333333
33,1776,SUMMER,19.138333333333332
37,1777,SUMMER,17.947999999999997
41,1778,SUMMER,0.0
45,1779,SUMMER,0.0
49,1780,SUMMER,0.0
53,1781,SUMMER,4.771999999999999
57,1782,SUMMER,7.004666666666666
61,1783,SUMMER,0.0
65,1784,SUMMER,0.0
69,1785,SUMMER,0.0
73,1786,SUMMER,0.0
77,1787,SUMMER,0.0
81,1788,SUMMER,0.0
85,1789,SUMMER,0.0
89,1790,SUMMER,0.0
93,1791,SUMMER,0.0
97,1792,SUMMER,0.0
101,1793,SUMMER,0.0
105,1794,SUMMER,0.0
109,1795,SUMMER,0.0
113,1796,SUMMER,19.76533333333333
117,1797,SUMMER,0.0
121,1798,SUMMER,0.0
125,1799,SUMMER,0.0
129,1800,SUMMER,0.0
133,1801,SUMMER,0.0
137,1802,SUMMER,0.0
141,1803,SUMMER,0.0
145,1804,SUMMER,0.0
149,1805,SUMMER,0.0
153,1806,SUMMER,0.0
157,1807,SUMMER,0.0
161,1808,SUMMER,0.0
165,1809,SUMMER,0.0
169,1810,SUMMER,0.0
173,1811,SUMMER,11.786666666666667
177,1812,SUMMER,19.199333333333332
181,1813,SUMMER,19.506666666666664
185,1814,SUMMER,0.0
189,1815,SUMMER,18.951333333333338
193,1816,SUMMER,0.0
197,1817,SUMMER,17.524666666666665
201,1818,SUMMER,6.642666666666667
205,1819,SUMMER,0.0
209,1820,SUMMER,17.914999999999996
213,1821,SUMMER,18.260666666666665
217,1822,SUMMER,18.95566666666667
221,1823,SUMMER,18.55566666666667
225,1824,SUMMER,19.125
229,1825,SUMMER,19.226666666666663
233,1826,SUMMER,18.471
237,1827,SUMMER,19.144333333333332
241,1828,SUMMER,18.912
245,1829,SUMMER,18.966
249,1830,SUMMER,19.345000000000002
253,1831,SUMMER,18.17766666666667
257,1832,SUMMER,18.144000000000002
261,1833,SUMMER,19.012666666666664
265,1834,SUMMER,19.132
269,1835,SUMMER,17.568
273,1836,SUMMER,18.10233333333333
277,1837,SUMMER,18.548666666666666
281,1838,SUMMER,19.256333333333334
285,1839,SUMMER,18.788
289,1840,SUMMER,18.421
293,1841,SUMMER,18.748
297,1842,SUMMER,18.080333333333332
301,1843,SUMMER,18.553
305,1844,SUMMER,18.256666666666664
309,1845,SUMMER,19.0
313,1846,SUMMER,19.639666666666667
317,1847,SUMMER,18.48333333333333
321,1848,SUMMER,18.026333333333334
325,1849,SUMMER,18.920333333333332
329,1850,SUMMER,19.695666666666668
333,1851,SUMMER,19.474
337,1852,SUMMER,18.700666666666667
341,1853,SUMMER,18.886
345,1854,SUMMER,19.702333333333332
349,1855,SUMMER,19.217333333333332
