,Year,Season,AverageTemperature
2,1768,WINTER,-2.8819999999999997
6,1769,WINTER,0.807
10,1770,WINTER,0.0
14,1771,WINTER,0.0
18,1772,WINTER,0.0
22,1773,WINTER,0.0
26,1774,WINTER,-0.9914
30,1775,WINTER,1.7401999999999997
34,1776,WINTER,0.18099999999999974
38,1777,WINTER,1.1374
42,1778,WINTER,-1.4702
46,1779,WINTER,-0.4281999999999998
50,1780,WINTER,0.0
54,1781,WINTER,-0.4332
58,1782,WINTER,-0.2734000000000002
62,1783,WINTER,0.0
66,1784,WINTER,0.0
70,1785,WINTER,0.0
74,1786,WINTER,0.0
78,1787,WINTER,0.0
82,1788,WINTER,0.0
86,1789,WINTER,0.0
90,1790,WINTER,0.0
94,1791,WINTER,0.0
98,1792,WINTER,0.0
102,1793,WINTER,0.0
106,1794,WINTER,0.0
110,1795,WINTER,0.0
114,1796,WINTER,-1.0522
118,1797,WINTER,1.2526
122,1798,WINTER,0.0
126,1799,WINTER,0.0
130,1800,WINTER,0.0
134,1801,WINTER,0.0
138,1802,WINTER,0.0
142,1803,WINTER,0.0
146,1804,WINTER,0.0
150,1805,WINTER,0.0
154,1806,WINTER,0.0
158,1807,WINTER,0.0
162,1808,WINTER,0.0
166,1809,WINTER,0.0
170,1810,WINTER,0.0
174,1811,WINTER,-0.5024
178,1812,WINTER,-2.2318
182,1813,WINTER,-0.514
186,1814,WINTER,-0.052999999999999936
190,1815,WINTER,-0.6623999999999995
194,1816,WINTER,-0.2555999999999994
198,1817,WINTER,-0.525
202,1818,WINTER,-0.14060000000000022
206,1819,WINTER,-1.6648000000000003
210,1820,WINTER,-0.7823999999999994
214,1821,WINTER,-0.38559999999999944
218,1822,WINTER,0.4788
222,1823,WINTER,-0.44299999999999995
226,1824,WINTER,0.5054
230,1825,WINTER,1.1712
234,1826,WINTER,0.36540000000000006
238,1827,WINTER,1.3404000000000003
242,1828,WINTER,0.6314000000000003
246,1829,WINTER,-0.14580000000000037
250,1830,WINTER,1.2386000000000004
254,1831,WINTER,-0.7918000000000005
258,1832,WINTER,0.37940000000000007
262,1833,WINTER,1.0746
266,1834,WINTER,0.7990000000000003
270,1835,WINTER,-0.40200000000000014
274,1836,WINTER,-0.6113999999999999
278,1837,WINTER,-0.2138
282,1838,WINTER,-1.0504000000000002
286,1839,WINTER,0.8071999999999999
290,1840,WINTER,0.5138000000000001
294,1841,WINTER,-0.08940000000000001
298,1842,WINTER,1.3852000000000007
302,1843,WINTER,-0.20239999999999975
306,1844,WINTER,0.46459999999999974
310,1845,WINTER,0.7295999999999999
314,1846,WINTER,1.3576
318,1847,WINTER,-0.3005999999999995
322,1848,WINTER,0.19980000000000003
326,1849,WINTER,-0.4722000000000003
330,1850,WINTER,-0.4857999999999995
334,1851,WINTER,0.48800000000000027
338,1852,WINTER,-0.12819999999999993
342,1853,WINTER,0.25219999999999987
346,1854,WINTER,0.41239999999999977
350,1855,WINTER,0.040200000000000104
354,1856,WINTER,-1.1378000000000004
358,1857,WINTER,-0.10540000000000002
362,1858,WINTER,0.48579999999999995
366,1859,WINTER,-0.3855999999999999
370,1860,WINTER,0.4022000000000001
374,1861,WINTER,0.5688
378,1862,WINTER,-0.4722000000000005
382,1863,WINTER,0.5752000000000002
386,1864,WINTER,-0.17700000000000005
390,1865,WINTER,-0.5955999999999996
394,1866,WINTER,0.09100000000000001
398,1867,WINTER,-0.15980000000000016
402,1868,WINTER,-0.22819999999999938
406,1869,WINTER,0.19459999999999988
410,1870,WINTER,0.20539999999999994
414,1871,WINTER,0.5638000000000002
418,1872,WINTER,-0.6015999999999997
422,1873,WINTER,-0.5513999999999999
426,1874,WINTER,-0.03519999999999994
430,1875,WINTER,-1.0865999999999996
434,1876,WINTER,-0.4033999999999997
438,1877,WINTER,0.8176000000000002
442,1878,WINTER,1.1625999999999994
446,1879,WINTER,0.32459999999999994
450,1880,WINTER,0.1955999999999996
454,1881,WINTER,-0.06260000000000007
458,1882,WINTER,0.49440000000000006
462,1883,WINTER,-0.5652
466,1884,WINTER,-0.9645999999999997
470,1885,WINTER,-0.38039999999999985
474,1886,WINTER,-0.7516
478,1887,WINTER,-0.5386000000000003
482,1888,WINTER,-0.182
486,1889,WINTER,1.3732
490,1890,WINTER,0.41679999999999995
494,1891,WINTER,0.27620000000000017
498,1892,WINTER,-0.14819999999999994
502,1893,WINTER,-0.2124000000000002
506,1894,WINTER,0.08899999999999975
510,1895,WINTER,-0.7298000000000002
514,1896,WINTER,0.3025999999999998
518,1897,WINTER,-0.09139999999999997
522,1898,WINTER,0.36760000000000004
526,1899,WINTER,-0.9525999999999998
530,1900,WINTER,0.7432000000000002
534,1901,WINTER,-0.2439999999999996
538,1902,WINTER,-0.1440000000000003
542,1903,WINTER,-0.19359999999999972
546,1904,WINTER,-0.27479999999999993
550,1905,WINTER,0.04499999999999975
554,1906,WINTER,0.4435999999999999
558,1907,WINTER,0.8380000000000006
562,1908,WINTER,1.2500000000000004
566,1909,WINTER,-0.5105999999999999
570,1910,WINTER,0.6103999999999997
574,1911,WINTER,0.6618000000000003
578,1912,WINTER,-0.29079999999999967
582,1913,WINTER,0.06820000000000004
586,1914,WINTER,0.30220000000000014
590,1915,WINTER,0.7659999999999998
594,1916,WINTER,-0.20939999999999975
598,1917,WINTER,-0.9551999999999993
602,1918,WINTER,0.05120000000000054
606,1919,WINTER,0.17679999999999954
610,1920,WINTER,-0.18760000000000013
614,1921,WINTER,1.8793999999999997
618,1922,WINTER,0.16600000000000023
622,1923,WINTER,0.4682000000000002
626,1924,WINTER,-0.6893999999999995
630,1925,WINTER,1.1634
634,1926,WINTER,1.0262
638,1927,WINTER,0.6801999999999999
642,1928,WINTER,0.9981999999999995
646,1929,WINTER,0.14620000000000027
650,1930,WINTER,0.6321999999999995
654,1931,WINTER,1.4736
658,1932,WINTER,0.259
662,1933,WINTER,0.5119999999999999
