,Year,Country,AverageTemperature,AverageTemperatureUncertainty
46116,2005,Djibouti,29.80858333333333,0.7481666666666668
46191,2005,Mali,29.52625,0.6305833333333334
46090,2005,Burkina Faso,29.238333333333326,0.28858333333333336
46285,2005,United Arab Emirates,28.992916666666673,0.3204166666666666
46248,2005,Senegal,28.955083333333334,0.41191666666666665
46068,2005,Aruba,28.77225,0.3293333333333333
46194,2005,Mauritania,28.752250000000004,0.7791666666666668
46212,2005,Niger,28.636416666666673,0.5837499999999999
46138,2005,Gambia,28.605,0.47833333333333333
46099,2005,Chad,28.211249999999996,0.67325
