,Year,Country,AverageTemperature,AverageTemperatureUncertainty
45873,2004,Djibouti,29.540916666666664,0.9340833333333333
45948,2004,Mali,29.426000000000002,0.6417499999999999
46042,2004,United Arab Emirates,29.104,0.34474999999999995
45847,2004,Burkina Faso,28.989166666666662,0.30116666666666664
46005,2004,Senegal,28.852083333333336,0.45741666666666664
45951,2004,Mauritania,28.628250000000005,0.6550833333333332
45825,2004,Aruba,28.506,0.27875
45895,2004,Gambia,28.3725,0.4594166666666666
45969,2004,Niger,28.371583333333337,0.5291666666666668
45990,2004,Qatar,28.140416666666667,0.4837499999999999
