Index,Category,ArticleTitle,Publisher,Contributor,PublishedDate,BestSellersDate,url
22,Nonfiction,Hygge Is Where the Heart Is,By JUDITH NEWMAN,The New York Times,2017-02-24,none,http://www.nytimes.com/2017/02/24/books/review/hygge-is-where-the-heart-is.html
23,Nonfiction,Interfaith Healer: The Surprising Role of Jesus in Islam,By LESLEY HAZLETON,The New York Times,2017-03-03,none,http://www.nytimes.com/2017/03/03/books/review/interfaith-healer-the-surprising-role-of-jesus-in-islam.html
24,Nonfiction,10 New Books We Recommend This Week,,The New York Times,2017-03-02,none,http://www.nytimes.com/2017/03/02/books/review/10-new-books-we-recommend-this-week.html
25,Nonfiction,The 10 Best Books of 2016,,The New York Times,2016-12-01,none,http://www.nytimes.com/interactive/2016/books/review/best-books.html
26,Nonfiction,"Get Out of Here: Scientists Examine the Benefits of Forests, Birdsong and Running Water",By JASON MARK,The New York Times,2017-03-02,none,http://www.nytimes.com/2017/03/02/books/review/nature-fix-florence-williams.html
27,Nonfiction,"Paula Fox, Novelist Who Chronicled Dislocation, Dies at 93",By MARGALIT FOX,The New York Times,2017-03-03,none,http://www.nytimes.com/2017/03/03/books/paula-fox-dead.html
28,Nonfiction,Walk on By: A Celebration of Women’s Pleasure in Wandering a City,By DIANE JOHNSON,The New York Times,2017-03-02,none,http://www.nytimes.com/2017/03/02/books/review/flaneuse-by-lauren-elkin.html
29,Nonfiction,"Mr. Darcy, You’re No Colin Firth",By KIMIKO de FREYTAS-TAMURA,The New York Times,2017-02-09,none,http://www.nytimes.com/2017/02/09/books/colin-firth-mr-darcy.html
30,Nonfiction,The 10 Best Books of 2016,,The New York Times,2016-12-01,none,http://www.nytimes.com/interactive/2016/books/review/best-books.html
31,Nonfiction,"In a Walt Whitman Novel, Lost for 165 Years, Clues to ‘Leaves of Grass’",By JENNIFER SCHUESSLER,The New York Times,2017-02-20,none,http://www.nytimes.com/2017/02/20/arts/in-a-walt-whitman-novel-lost-for-165-years-clues-to-leaves-of-grass.html
32,Nonfiction,In Search of the Slave Who Defied George Washington,By JENNIFER SCHUESSLER,The New York Times,2017-02-06,none,http://www.nytimes.com/2017/02/06/arts/george-washington-mount-vernon-slavery.html
33,Nonfiction,25 Great Books by Refugees in America,By GAL BECKERMAN,The New York Times,2017-01-30,none,http://www.nytimes.com/2017/01/30/books/review/25-great-books-by-refugees-in-america.html
34,Nonfiction,Which Dystopian Novel Got It Right: Orwell’s ‘1984’ or Huxley’s ‘Brave New World’?,,The New York Times,2017-02-13,none,http://www.nytimes.com/2017/02/13/books/review/which-dystopian-novel-got-it-right-orwells-1984-or-huxleys-brave-new-world.html
35,Nonfiction,"Finding America, Both Red and Blue, in the ‘Little House’ Books",By MARIA RUSSO,The New York Times,2017-02-07,none,http://www.nytimes.com/2017/02/07/books/review/little-house-laura-ingalls-wilder-anniversary.html
36,Nonfiction,"Not From Venus, Not From Mars: What We Believe About Gender and Why It’s Often Wrong",By ANNIE MURPHY PAUL,The New York Times,2017-02-23,none,http://www.nytimes.com/2017/02/23/books/review/testosterone-rex-myths-of-sex-science-and-society-cordelia-fine.html
37,Nonfiction,Chelsea Clinton: By the Book,,The New York Times,2017-02-23,none,http://www.nytimes.com/2017/02/23/books/review/chelsea-clinton-by-the-book.html
38,Nonfiction,The 10 Best Books of 2016,,The New York Times,2016-12-01,none,http://www.nytimes.com/interactive/2016/books/review/best-books.html
39,Nonfiction,Kurt Andersen-Alec Baldwin Satire Is Part of a Trump Cottage Book Industry,By JOHN WILLIAMS,The New York Times,2017-03-01,none,http://www.nytimes.com/2017/03/01/arts/kurt-andersen-alec-baldwin-to-write-satirical-book-about-president-trump.html
40,Nonfiction,8 New Books We Recommend This Week,,The New York Times,2017-02-23,none,http://www.nytimes.com/2017/02/23/books/review/8-new-books-we-recommend-this-week.html
41,Nonfiction,"A History of Race and Racism in America, in 24 Chapters",By IBRAM X. KENDI,The New York Times,2017-02-22,none,http://www.nytimes.com/2017/02/22/books/review/a-history-of-race-and-racism-in-america-in-24-chapters.html
42,Nonfiction,"In a Walt Whitman Novel, Lost for 165 Years, Clues to ‘Leaves of Grass’",By JENNIFER SCHUESSLER,The New York Times,2017-02-20,none,http://www.nytimes.com/2017/02/20/arts/in-a-walt-whitman-novel-lost-for-165-years-clues-to-leaves-of-grass.html
