Name of Restaurants,City,Country Code,Day of Week
,,,
1 Abercrombie Lane,Sydney,AU,0
,,,
1 Abercrombie Lane,Sydney,AU,1
,,,
1 Abercrombie Lane,Sydney,AU,2
,,,
1 Abercrombie Lane,Sydney,AU,3
,,,
1 Abercrombie Lane,Sydney,AU,4
,,,
10' Custom Pizzeria,Braddon,AU,0
,,,
10' Custom Pizzeria,Braddon,AU,0
,,,
10' Custom Pizzeria,Braddon,AU,1
,,,
10' Custom Pizzeria,Braddon,AU,1
,,,
10' Custom Pizzeria,Braddon,AU,2
,,,
10' Custom Pizzeria,Braddon,AU,2
,,,
10' Custom Pizzeria,Braddon,AU,3
,,,
10' Custom Pizzeria,Braddon,AU,3
,,,
10' Custom Pizzeria,Braddon,AU,4
,,,
10' Custom Pizzeria,Braddon,AU,4
,,,
10' Custom Pizzeria,Braddon,AU,5
,,,
10' Custom Pizzeria,Braddon,AU,5
,,,
10' Custom Pizzeria,Braddon,AU,6
,,,
10' Custom Pizzeria,Braddon,AU,6
,,,
11 Inch Pizza,Melbourne,AU,0
,,,
11 Inch Pizza,Melbourne,AU,1
,,,
11 Inch Pizza,Melbourne,AU,2
,,,
11 Inch Pizza,Melbourne,AU,3
,,,
11 Inch Pizza,Melbourne,AU,4
,,,
11 Inch Pizza,Melbourne,AU,5
,,,
11 Inch Pizza,Melbourne,AU,6
,,,
127 Bar and Bistro,Brisbane,AU,0
,,,
127 Bar and Bistro,Brisbane,AU,1
,,,
127 Bar and Bistro,Brisbane,AU,2
,,,
127 Bar and Bistro,Brisbane,AU,3
,,,
127 Bar and Bistro,Brisbane,AU,4
,,,
127 Bar and Bistro,Brisbane,AU,5
,,,
127 Bar and Bistro,Brisbane,AU,5
,,,
127 Bar and Bistro,Brisbane,AU,6
,,,
1806,Melbourne,AU,0
,,,
1806,Melbourne,AU,1
,,,
1806,Melbourne,AU,2
,,,
1806,Melbourne,AU,3
,,,
1806,Melbourne,AU,4
,,,
1806,Melbourne,AU,5
,,,
1806,Melbourne,AU,6
,,,
1907 Restaurant,Perth,AU,1
,,,
1907 Restaurant,Perth,AU,1
,,,
1907 Restaurant,Perth,AU,2
,,,
1907 Restaurant,Perth,AU,2
,,,
1907 Restaurant,Perth,AU,3
,,,
1907 Restaurant,Perth,AU,3
,,,
1907 Restaurant,Perth,AU,4
,,,
1907 Restaurant,Perth,AU,4
,,,
1907 Restaurant,Perth,AU,5
,,,
1907 Restaurant,Perth,AU,5
,,,
1912 Dining Bar,Sydney,AU,0
,,,
1912 Dining Bar,Sydney,AU,1
,,,
1912 Dining Bar,Sydney,AU,2
,,,
1912 Dining Bar,Sydney,AU,3
,,,
1912 Dining Bar,Sydney,AU,4
,,,
1912 Dining Bar,Sydney,AU,5
,,,
259 Cafe,Perth,AU,0
,,,
259 Cafe,Perth,AU,2
,,,
259 Cafe,Perth,AU,3
,,,
259 Cafe,Perth,AU,4
,,,
259 Cafe,Perth,AU,5
,,,
259 Cafe,Perth,AU,6
,,,
3 Wise Monkeys Pub,Sydney,AU,0
,,,
3 Wise Monkeys Pub,Sydney,AU,1
,,,
3 Wise Monkeys Pub,Sydney,AU,2
,,,
3 Wise Monkeys Pub,Sydney,AU,3
,,,
3 Wise Monkeys Pub,Sydney,AU,4
,,,
3 Wise Monkeys Pub,Sydney,AU,5
,,,
3 Wise Monkeys Pub,Sydney,AU,6
,,,
360 Bar and Restaurant,Sydney,AU,0
,,,
360 Bar and Restaurant,Sydney,AU,0
,,,
360 Bar and Restaurant,Sydney,AU,1
,,,
360 Bar and Restaurant,Sydney,AU,1
,,,
360 Bar and Restaurant,Sydney,AU,2
,,,
360 Bar and Restaurant,Sydney,AU,2
,,,
360 Bar and Restaurant,Sydney,AU,3
,,,
360 Bar and Restaurant,Sydney,AU,3
,,,
360 Bar and Restaurant,Sydney,AU,4
,,,
360 Bar and Restaurant,Sydney,AU,4
,,,
360 Bar and Restaurant,Sydney,AU,5
,,,
360 Bar and Restaurant,Sydney,AU,6
,,,
38 Espresso,Kingston,AU,0
,,,
38 Espresso,Kingston,AU,1
,,,
38 Espresso,Kingston,AU,2
,,,
38 Espresso,Kingston,AU,3
,,,
38 Espresso,Kingston,AU,4
,,,
38 Espresso,Kingston,AU,5
,,,
38 Espresso,Kingston,AU,6
,,,
+39 Pizzeria,Melbourne,AU,0
,,,
+39 Pizzeria,Melbourne,AU,0
,,,
+39 Pizzeria,Melbourne,AU,1
,,,
+39 Pizzeria,Melbourne,AU,1
,,,
+39 Pizzeria,Melbourne,AU,2
,,,
+39 Pizzeria,Melbourne,AU,2
,,,
+39 Pizzeria,Melbourne,AU,3
,,,
+39 Pizzeria,Melbourne,AU,3
,,,
+39 Pizzeria,Melbourne,AU,4
,,,
+39 Pizzeria,Melbourne,AU,5
,,,
+39 Pizzeria,Melbourne,AU,6
,,,
4Fourteen,Surry Hills,AU,1
,,,
4Fourteen,Surry Hills,AU,1
,,,
4Fourteen,Surry Hills,AU,2
,,,
4Fourteen,Surry Hills,AU,2
,,,
4Fourteen,Surry Hills,AU,3
,,,
4Fourteen,Surry Hills,AU,3
,,,
4Fourteen,Surry Hills,AU,4
,,,
4Fourteen,Surry Hills,AU,4
,,,
4Fourteen,Surry Hills,AU,5
,,,
4Fourteen,Surry Hills,AU,5
,,,
4Fourteen,Surry Hills,AU,6
,,,
5 & Dime Bagels,Melbourne,AU,0
,,,
5 & Dime Bagels,Melbourne,AU,1
,,,
5 & Dime Bagels,Melbourne,AU,2
,,,
5 & Dime Bagels,Melbourne,AU,3
,,,
5 & Dime Bagels,Melbourne,AU,4
,,,
5 Boroughs,Brisbane,AU,0
,,,
5 Boroughs,Brisbane,AU,1
,,,
5 Boroughs,Brisbane,AU,2
,,,
5 Boroughs,Brisbane,AU,3
,,,
5 Boroughs,Brisbane,AU,4
,,,
5 Boroughs,Brisbane,AU,5
,,,
5 Boroughs,Brisbane,AU,6
,,,
580 Bench,Melbourne,AU,0
,,,
580 Bench,Melbourne,AU,1
,,,
580 Bench,Melbourne,AU,2
,,,
580 Bench,Melbourne,AU,3
,,,
580 Bench,Melbourne,AU,4
,,,
62 Rokujuni,Sydney,AU,0
,,,
62 Rokujuni,Sydney,AU,0
,,,
62 Rokujuni,Sydney,AU,1
,,,
62 Rokujuni,Sydney,AU,1
,,,
62 Rokujuni,Sydney,AU,2
,,,
62 Rokujuni,Sydney,AU,2
,,,
62 Rokujuni,Sydney,AU,3
,,,
62 Rokujuni,Sydney,AU,3
,,,
62 Rokujuni,Sydney,AU,4
,,,
62 Rokujuni,Sydney,AU,4
,,,
678 Korean Bbq,Sydney,AU,0
,,,
678 Korean Bbq,Sydney,AU,1
,,,
678 Korean Bbq,Sydney,AU,2
,,,
678 Korean Bbq,Sydney,AU,3
,,,
678 Korean Bbq,Sydney,AU,4
,,,
678 Korean Bbq,Sydney,AU,5
,,,
678 Korean Bbq,Sydney,AU,6
,,,
7th & Bake Patisserie Cafe,Canberra,AU,0
,,,
7th & Bake Patisserie Cafe,Canberra,AU,1
,,,
7th & Bake Patisserie Cafe,Canberra,AU,2
,,,
7th & Bake Patisserie Cafe,Canberra,AU,3
,,,
7th & Bake Patisserie Cafe,Canberra,AU,4
,,,
7th & Bake Patisserie Cafe,Canberra,AU,5
,,,
7th & Bake Patisserie Cafe,Canberra,AU,6
,,,
8Bit,Melbourne,AU,0
,,,
8Bit,Melbourne,AU,1
,,,
8Bit,Melbourne,AU,2
,,,
8Bit,Melbourne,AU,3
,,,
8Bit,Melbourne,AU,4
,,,
8Bit,Melbourne,AU,5
,,,
8Bit,Melbourne,AU,6
,,,
90 Secondi,Melbourne,AU,0
,,,
90 Secondi,Melbourne,AU,1
,,,
90 Secondi,Melbourne,AU,2
,,,
90 Secondi,Melbourne,AU,3
,,,
90 Secondi,Melbourne,AU,4
,,,
90 Secondi,Melbourne,AU,5
,,,
A Fish Called Inglewood,Inglewood,AU,1
,,,
A Fish Called Inglewood,Inglewood,AU,2
,,,
A Fish Called Inglewood,Inglewood,AU,3
,,,
A Fish Called Inglewood,Inglewood,AU,4
,,,
A Fish Called Inglewood,Inglewood,AU,5
,,,
A Fish Called Inglewood,Inglewood,AU,6
,,,
A25,Melbourne,AU,0
,,,
A25,Melbourne,AU,1
,,,
A25,Melbourne,AU,2
,,,
A25,Melbourne,AU,3
,,,
A25,Melbourne,AU,4
,,,
A25,Melbourne,AU,5
,,,
Aamaya Indian Restaurant,Brisbane,AU,0
,,,
Aamaya Indian Restaurant,Brisbane,AU,1
,,,
Aamaya Indian Restaurant,Brisbane,AU,1
,,,
Aamaya Indian Restaurant,Brisbane,AU,2
,,,
Aamaya Indian Restaurant,Brisbane,AU,2
,,,
Aamaya Indian Restaurant,Brisbane,AU,3
,,,
Aamaya Indian Restaurant,Brisbane,AU,3
,,,
Aamaya Indian Restaurant,Brisbane,AU,4
,,,
Aamaya Indian Restaurant,Brisbane,AU,4
,,,
Aamaya Indian Restaurant,Brisbane,AU,5
,,,
Aamaya Indian Restaurant,Brisbane,AU,6
,,,
Abb Air,Sydney,AU,0
,,,
Abb Air,Sydney,AU,1
,,,
Abb Air,Sydney,AU,2
,,,
Abb Air,Sydney,AU,3
,,,
Abb Air,Sydney,AU,4
,,,
Abb Air,Sydney,AU,5
,,,
Abb Air,Sydney,AU,6
,,,
ACMI Cafe & Bar,Melbourne,AU,0
,,,
ACMI Cafe & Bar,Melbourne,AU,1
,,,
